Date,Open,High,Low,close,Adj Close,Volume,sentiment_score,intensity_score,type_token_ratio
1994-08-11,0.305804,0.313616,0.302455,0.306362,0.255112,298088000,0.0,0.46948956622254673,0.0
1994-08-12,0.30692,0.313616,0.302455,0.310268,0.258364,179648000,0.0,0.46948956622254673,0.0
1994-08-15,0.310268,0.3125,0.305804,0.309152,0.258327,120075200,0.0,0.46948956622254673,0.0
1994-08-16,0.30692,0.310268,0.303571,0.310268,0.259259,155736000,0.0,0.46948956622254673,0.0
1994-08-17,0.311384,0.315848,0.309152,0.3125,0.261125,286182400,0.0,0.46948956622254673,0.0
1994-08-18,0.310268,0.314732,0.308036,0.309152,0.258327,206259200,0.0,0.46948956622254673,0.0
1994-08-19,0.310268,0.3125,0.305804,0.311384,0.260192,130547200,0.0,0.46948956622254673,0.0
1994-08-22,0.310268,0.3125,0.309152,0.311384,0.260192,152420800,0.0,0.46948956622254673,0.0
1994-08-23,0.311384,0.320313,0.310268,0.3125,0.261125,214446400,0.0,0.46948956622254673,0.0
1994-08-24,0.310268,0.3125,0.30692,0.311384,0.260192,171584000,0.0,0.46948956622254673,0.0
1994-08-25,0.305804,0.324777,0.305804,0.313058,0.261591,298793600,0.0,0.46948956622254673,0.0
1994-08-26,0.314732,0.322545,0.314732,0.319196,0.26672,204198400,0.0,0.46948956622254673,0.0
1994-08-29,0.319196,0.322545,0.314732,0.315848,0.263922,152107200,0.0,0.46948956622254673,0.0
1994-08-30,0.314732,0.324777,0.313616,0.323661,0.270451,182078400,0.0,0.46948956622254673,0.0
1994-08-31,0.321429,0.333705,0.319196,0.323103,0.269984,351836800,0.0,0.46948956622254673,0.0
1994-09-01,0.315848,0.319196,0.309152,0.3125,0.261125,204288000,0.0,0.46948956622254673,0.0
1994-09-02,0.314732,0.316964,0.3125,0.315848,0.263922,101304000,0.0,0.46948956622254673,0.0
1994-09-06,0.314732,0.31808,0.3125,0.317522,0.265321,91425600,0.0,0.46948956622254673,0.0
1994-09-07,0.31808,0.327009,0.315848,0.322545,0.269518,203896000,0.0,0.46948956622254673,0.0
1994-09-08,0.321429,0.323661,0.31808,0.322545,0.269518,158838400,0.0,0.46948956622254673,0.0
1994-09-09,0.319196,0.321429,0.315848,0.319196,0.26672,157236800,0.0,0.46948956622254673,0.0
1994-09-12,0.31808,0.319196,0.315848,0.319196,0.26672,90540800,0.0,0.46948956622254673,0.0
1994-09-13,0.319196,0.323661,0.31808,0.319754,0.267186,104227200,0.0,0.46948956622254673,0.0
1994-09-14,0.31808,0.319196,0.3125,0.313616,0.262057,99086400,0.0,0.46948956622254673,0.0
1994-09-15,0.313616,0.322545,0.313616,0.321429,0.268586,258955200,0.0,0.46948956622254673,0.0
1994-09-16,0.320313,0.332589,0.316964,0.324777,0.271383,364145600,0.0,0.46948956622254673,0.0
1994-09-19,0.324777,0.328125,0.316964,0.316964,0.264855,174350400,0.0,0.46948956622254673,0.0
1994-09-20,0.313616,0.315848,0.30692,0.308594,0.257861,197254400,0.0,0.46948956622254673,0.0
1994-09-21,0.308036,0.309152,0.301339,0.304688,0.254597,234841600,0.0,0.46948956622254673,0.0
1994-09-22,0.305804,0.305804,0.300223,0.302455,0.252731,146238400,0.0,0.46948956622254673,0.0
1994-09-23,0.302455,0.308036,0.302455,0.303013,0.253197,132876800,0.0,0.46948956622254673,0.0
1994-09-26,0.302455,0.308036,0.300223,0.303013,0.253197,141702400,0.0,0.46948956622254673,0.0
1994-09-27,0.301339,0.304688,0.297991,0.302455,0.252731,109088000,0.0,0.46948956622254673,0.0
